Key,Source,Context,Changes,Spanish,japanese,german
ExtraExperienceRank10Desc,progression,skills,New,"+100% Ganancia de XP",経験値+100%,+100% Erfahrung
ExtraExperienceRank1LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 12%",経験値の獲得量を12%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 12%.
ExtraExperienceRank2LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 24%",経験値の獲得量を24%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 24%.
ExtraExperienceRank3LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 36%",経験値の獲得量を36%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 36%.
ExtraExperienceRank4LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 48%",経験値の獲得量を48%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 48%.
ExtraExperienceRank5LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 60%",経験値の獲得量を60%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 60%.
ExtraExperienceRank6LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 68%",経験値の獲得量を68%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 68%.
ExtraExperienceRank7LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 76%",経験値の獲得量を76%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 76%.
ExtraExperienceRank8LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 84%",経験値の獲得量を84%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 84%.
ExtraExperienceRank9LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 92%",経験値の獲得量を92%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 92%.
ExtraExperienceRank10LongDesc,progression,skills,New,"Incrementa tu ganancia de experiencia en 100%",経験値の獲得量を100%増加させます。,Erhöhe die Menge gewonnener Erfahrung um 100%.

CraftingSpeedName,progression,skills,New,"Experto en elaboración",クラフトスピード,Handwerksgeschick
CraftingSpeedDesc,progression,skills,New,"Tus dedos ágiles te permiten elaborar aún más rápido que antes.",あなたの軽快な指は、以前よりもさらに速く工作することを可能にします。,"Deine geschickten Finger erlauben es dir, noch schneller und effizienter Dinge herzustellen, als zuvor."
CraftingSpeedRank1Desc,progression,skills,New,"+8% Velocidad de elaboración",クラフト速度+8%,+8% Herstellungstempo
CraftingSpeedRank2Desc,progression,skills,New,"+16% Velocidad de elaboración",クラフト速度+16%,+16% Herstellungstempo
CraftingSpeedRank3Desc,progression,skills,New,"+24% Velocidad de elaboración",クラフト速度+24%,+24% Herstellungstempo
CraftingSpeedRank4Desc,progression,skills,New,"+32% Velocidad de elaboración",クラフト速度+32%,+32% Herstellungstempo
CraftingSpeedRank5Desc,progression,skills,New,"+40% Velocidad de elaboración",クラフト速度+40%,+40% Herstellungstempo
CraftingSpeedRank6Desc,progression,skills,New,"+46% Velocidad de elaboración",クラフト速度+46%,+46% Herstellungstempo
CraftingSpeedRank7Desc,progression,skills,New,"+52% Velocidad de elaboración",クラフト速度+52%,+52% Herstellungstempo
CraftingSpeedRank8Desc,progression,skills,New,"+58% Velocidad de elaboración",クラフト速度+58%,+58% Herstellungstempo
CraftingSpeedRank9Desc,progression,skills,New,"+64% Velocidad de elaboración",クラフト速度+64%,+64% Herstellungstempo
CraftingSpeedRank10Desc,progression,skills,New,"+70% Velocidad de elaboración\n+1 espacio de elaboración",クラフト速度+70%\nアイテムティア+1,+70% Herstellungstempo\n+1 Stufe hergestellter Ausrüstung
CraftingSpeedRank1LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 8%",アイテムクラフトのスピードを8%高速化させます。,Erhöhe dein Herstellungstempo um 8%.
CraftingSpeedRank2LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 16%",アイテムクラフトのスピードを16%高速化させます。,Erhöhe dein Herstellungstempo um 16%.
CraftingSpeedRank3LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 24%",アイテムクラフトのスピードを24%高速化させます。,Erhöhe dein Herstellungstempo um 24%.
CraftingSpeedRank4LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 32%",アイテムクラフトのスピードを32%高速化させます。,Erhöhe dein Herstellungstempo um 32%.
CraftingSpeedRank5LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 40%",アイテムクラフトのスピードを40%高速化させます。,Erhöhe dein Herstellungstempo um 40%.
CraftingSpeedRank6LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 46%",アイテムクラフトのスピードを46%高速化させます。,Erhöhe dein Herstellungstempo um 46%.
CraftingSpeedRank7LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 52%",アイテムクラフトのスピードを52%高速化させます。,Erhöhe dein Herstellungstempo um 52%.
CraftingSpeedRank8LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 58%",アイテムクラフトのスピードを58%高速化させます。,Erhöhe dein Herstellungstempo um 58%.
CraftingSpeedRank9LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 64%",アイテムクラフトのスピードを64%高速化させます。,Erhöhe dein Herstellungstempo um 64%.
CraftingSpeedRank10LongDesc,progression,skills,New,"Incrementa la velocidad de elaboración en 70% y agrega un espacio adicional de elaboración.",アイテムクラフトのスピードを70%高速化させ、クラフト時のアイテムティアを+1します。,"Erhöhe dein Herstellungstempo um 70% und die Stufe hergestellter Ausrüstung um 1."

RascalName,progression,skills,New,"Bribón",交渉人,Schlitzohr
RascalDesc,progression,skills,New,"Sabes como negociar apropiadamente. Solo los verdaderos bribones saben como obtener mejores precios.",あなたは適切な交渉の仕方を知っています。真の悪党だけが最高の取引をすることができます。,"Du weißt anständig zu verhandeln un zu feilschen. Nur wahre Schlitzohren erhalten die besten Geschäfte."
RascalRank1Desc,progression,skills,New,"2% mejores precios",取引優遇2%,2% bessere Geschäfte
RascalRank2Desc,progression,skills,New,"4% mejores precios",取引優遇4%,4% bessere Geschäfte
RascalRank3Desc,progression,skills,New,"6% mejores precios",取引優遇6%,6% bessere Geschäfte
RascalRank4Desc,progression,skills,New,"8% mejores precios",取引優遇8%,8% bessere Geschäfte
RascalRank5Desc,progression,skills,New,"10% mejores precios",取引優遇10%,10% bessere Geschäfte
RascalRank6Desc,progression,skills,New,"11% mejores precios",取引優遇11%,11% bessere Geschäfte
RascalRank7Desc,progression,skills,New,"12% mejores precios",取引優遇12%,12% bessere Geschäfte
RascalRank8Desc,progression,skills,New,"13% mejores precios",取引優遇13%,13% bessere Geschäfte
RascalRank9Desc,progression,skills,New,"14% mejores precios",取引優遇14%,14% bessere Geschäfte
RascalRank10Desc,progression,skills,New,"15% mejores precios",取引優遇15%,15% bessere Geschäfte
RascalRank1LongDesc,progression,skills,New,"Podrás obtener 2% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に2%良い価格で売買できる。,"Du erhältst 2% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank2LongDesc,progression,skills,New,"Podrás obtener 4% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に4%良い価格で売買できる。,"Du erhältst 4% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank3LongDesc,progression,skills,New,"Podrás obtener 6% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に6%良い価格で売買できる。,"Du erhältst 6% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank4LongDesc,progression,skills,New,"Podrás obtener 8% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に8%良い価格で売買できる。,"Du erhältst 8% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank5LongDesc,progression,skills,New,"Podrás obtener 10% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に10%良い価格で売買できる。,"Du erhältst 10% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank6LongDesc,progression,skills,New,"Podrás obtener 11% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に11%良い価格で売買できる。,"Du erhältst 11% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank7LongDesc,progression,skills,New,"Podrás obtener 12% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に12%良い価格で売買できる。,"Du erhältst 12% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank8LongDesc,progression,skills,New,"Podrás obtener 13% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に13%良い価格で売買できる。,"Du erhältst 13% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank9LongDesc,progression,skills,New,"Podrás obtener 14% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に14%良い価格で売買できる。,"Du erhältst 14% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."
RascalRank10LongDesc,progression,skills,New,"Podrás obtener 15% de mejoría en los precios cuándo vendes y/o compras a los vendedores.",トレーダーでの取引時に15%良い価格で売買できる。,"Du erhältst 15% bessere Preise, wenn du Dinge bei Händlern kaufst oder verkaufst."

FoodEngineeringName,progression,skills,New,"Ingeniero en alimentos",食品工学,Lebensmitteltechnik
FoodEngineeringDesc,progression,skills,New,"Sabes como trabajar apropiadamente con comida, como usarla más eficientemente y sacar el mejor provecho a los recursos que utilizas",食材の効率的な使い方を学習しました。,"Du weißt um den angemessenen Umgang mit Nahrung und hast dadurch effizienzsteigernde Verfahren entdeckt."
FoodEngineeringRank1Desc,progression,skills,New,"Cocinar cuesta un 6% menos recursos",消費食材-6%,Kochen kostet 6% weniger Ressourcen
FoodEngineeringRank2Desc,progression,skills,New,"Cocinar cuesta un 12% menos recursos",消費食材-12%,Kochen kostet 12% weniger Ressourcen
FoodEngineeringRank3Desc,progression,skills,New,"Cocinar cuesta un 18% menos recursos",消費食材-18%,Kochen kostet 18% weniger Ressourcen
FoodEngineeringRank4Desc,progression,skills,New,"Cocinar cuesta un 24% menos recursos",消費食材-24%,Kochen kostet 24% weniger Ressourcen
FoodEngineeringRank5Desc,progression,skills,New,"Cocinar cuesta un 30% menos recursos\nCosecha +1 de plantación",消費食材-30%\n収穫量+1,Kochen kostet 30% weniger Ressourcen\n+1 Ernteertrag
FoodEngineeringRank6Desc,progression,skills,New,"Cocinar cuesta un 34% menos recursos\nCosecha +1 de plantación",消費食材-34%\n収穫量+1,Kochen kostet 34% weniger Ressourcen\n+1 Ernteertrag
FoodEngineeringRank7Desc,progression,skills,New,"Cocinar cuesta un 38% menos recursos\nCosecha +1 de plantación",消費食材-38%\n収穫量+1,Kochen kostet 38% weniger Ressourcen\n+1 Ernteertrag
FoodEngineeringRank8Desc,progression,skills,New,"Cocinar cuesta un 42% menos recursos\nCosecha +1 de plantación",消費食材-42%\n収穫量+1,Kochen kostet 42% weniger Ressourcen\n+1 Ernteertrag
FoodEngineeringRank9Desc,progression,skills,New,"Cocinar cuesta un 46% menos recursos\nCosecha +1 de plantación",消費食材-46%\n収穫量+1,Kochen kostet 46% weniger Ressourcen\n+1 Ernteertrag
FoodEngineeringRank10Desc,progression,skills,New,"Cocinar cuesta un 50% menos recursos\nCosecha +2 de plantación",消費食材-50%\n収穫量+2,Kochen kostet 50% weniger Ressourcen\n+2 Ernteertrag
FoodEngineeringRank1LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 6% menos de recursos.",調理時の食材量を6%減少させます。,"Du bist in der Lage effizienter zu kochen, wodurch du 6% weniger Ressourcen verbrauchst."
FoodEngineeringRank2LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 12% menos de recursos.",調理時の食材量を12%減少させます。,"Du bist in der Lage effizienter zu kochen, wodurch du 12% weniger Ressourcen verbrauchst."
FoodEngineeringRank3LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 18% menos de recursos.",調理時の食材量を18%減少させます。,"Du bist in der Lage effizienter zu kochen, wodurch du 18% weniger Ressourcen verbrauchst."
FoodEngineeringRank4LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 24% menos de recursos.",調理時の食材量を24%減少させます。,"Du bist in der Lage effizienter zu kochen, wodurch du 24% weniger Ressourcen verbrauchst."
FoodEngineeringRank5LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 30% menos de recursos. También tu plantación será más fertil, incrementando la cosecha en 1.",調理時の食材量を30%減少させ、農作物の収集量を+1します。,"Du bist in der Lage effizienter zu kochen, wodurch du 30% weniger Ressourcen verbrauchst. Zudem kannst du eine einträgliche Ernte einfahren, was deinen Ernteertrag um 1 erhöht."
FoodEngineeringRank6LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 34% menos de recursos. También tu plantación será más fertil, incrementando la cosecha en 1.",調理時の食材量を34%減少させ、農作物の収集量を+1します。,"Du bist in der Lage effizienter zu kochen, wodurch du 34% weniger Ressourcen verbrauchst. Zudem kannst du eine einträgliche Ernte einfahren, was deinen Ernteertrag um 1 erhöht."
FoodEngineeringRank7LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 38% menos de recursos. También tu plantación será más fertil, incrementando la cosecha en 1.",調理時の食材量を38%減少させ、農作物の収集量を+1します。,"Du bist in der Lage effizienter zu kochen, wodurch du 38% weniger Ressourcen verbrauchst. Zudem kannst du eine einträgliche Ernte einfahren, was deinen Ernteertrag um 1 erhöht."
FoodEngineeringRank8LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 42% menos de recursos. También tu plantación será más fertil, incrementando la cosecha en 1.",調理時の食材量を42%減少させ、農作物の収集量を+1します。,"Du bist in der Lage effizienter zu kochen, wodurch du 42% weniger Ressourcen verbrauchst. Zudem kannst du eine einträgliche Ernte einfahren, was deinen Ernteertrag um 1 erhöht."
FoodEngineeringRank9LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 46% menos de recursos. También tu plantación será más fertil, incrementando la cosecha en 1.",調理時の食材量を46%減少させ、農作物の収集量を+1します。,"Du bist in der Lage effizienter zu kochen, wodurch du 46% weniger Ressourcen verbrauchst. Zudem kannst du eine einträgliche Ernte einfahren, was deinen Ernteertrag um 1 erhöht."
FoodEngineeringRank10LongDesc,progression,skills,New,"Puedes cocinar más eficientemente, usando un 50% menos de recursos. También tu plantación será más fertil, incrementando la cosecha en 2.",調理時の食材量を50%減少させ、農作物の収集量を+2します。,"Du bist in der Lage effizienter zu kochen, wodurch du 50% weniger Ressourcen verbrauchst. Zudem kannst du eine einträgliche Ernte einfahren, was deinen Ernteertrag um 2 erhöht."

ReveredName,progression,skills,New,Venerado,崇高な貢献,Verehrt
ReveredDesc,progression,skills,New,"!Te has hecho un gran nombre y las personas son ahora más agradecidas con tu ayuda en estos tiempos.",トレーダーズの名前を大きくするのに大きな貢献をし、さまざまな人があなたの協力に感謝している。トレーダークエストの報酬が増加する。,"Du hast dir einen ganz schönen Namen gemacht, wodurch dir die Menschen für deine Hilfe in diesen dunklen Zeiten, noch dankbarer sind."
ReveredRank1Desc,progression,skills,New,"+20% Recompensa por misión",クエスト報酬+20%,"+20% Questbelohnungen"
ReveredRank2Desc,progression,skills,New,"+40% Recompensa por misión",クエスト報酬+40%,"+40% Questbelohnungen"
ReveredRank3Desc,progression,skills,New,"+60% Recompensa por misión",クエスト報酬+60%,"+60% Questbelohnungen"
ReveredRank4Desc,progression,skills,New,"+80% Recompensa por misión",クエスト報酬+80%,"+80% Questbelohnungen"
ReveredRank5Desc,progression,skills,New,"+100% Recompensa por misión",クエスト報酬+100%,"+100% Questbelohnungen"
ReveredRank6Desc,progression,skills,New,"+110% Recompensa por misión",クエスト報酬+110%,"+110% Questbelohnungen"
ReveredRank7Desc,progression,skills,New,"+120% Recompensa por misión",クエスト報酬+120%,"+120% Questbelohnungen"
ReveredRank8Desc,progression,skills,New,"+130% Recompensa por misión",クエスト報酬+130%,"+130% Questbelohnungen"
ReveredRank9Desc,progression,skills,New,"+140% Recompensa por misión",クエスト報酬+140%,"+140% Questbelohnungen"
ReveredRank10Desc,progression,skills,New,"+150% Recompensa por misión\nEscoge una recompensa adicional",クエスト報酬+150%\n選択報酬+1,"+150% Questbelohnungen\nWähle eine weitere Belohnung"
ReveredRank1LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 20%",トレーダークエストの報酬を20%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 20%."
ReveredRank2LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 40%",トレーダークエストの報酬を40%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 40%."
ReveredRank3LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 60%",トレーダークエストの報酬を60%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 60%."
ReveredRank4LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 80%",トレーダークエストの報酬を80%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 80%."
ReveredRank5LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 100%",トレーダークエストの報酬を100%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 100%."
ReveredRank6LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 110%",トレーダークエストの報酬を110%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 110%."
ReveredRank7LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 120%",トレーダークエストの報酬を120%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 120%."
ReveredRank8LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 130%",トレーダークエストの報酬を130%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 130%."
ReveredRank9LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 140%",トレーダークエストの報酬を140%上昇させる。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 140%."
ReveredRank10LongDesc,progression,skills,New,"Incrementa la cantidad de la recompensa por misión en 150%. También puedes escoger una recompensa adicional por misión.",トレーダークエストの報酬を150%上昇させ、選択報酬を+1する。,"Erhöhe die Menge an erhaltenen Questbelohnungen um 150%. Zudem kannst du eine weitere Belohnung auswählen."

SalvagerName,progression,skills,New,"Conocimiento en Desguaze",解体の知識,Zerlegungs-Fachkenntnis
SalvagerDesc,progression,skills,New,"Has adquirido el conocimiento de como obtener más recursos al recuperar partes de objetos eléctricos y mecánicos.",機械類を素早く解体しながら、より多くの資源を集める知識を身につけました。, Du hast dir das Wissen um das Zerlegen von mechanischen und elektrischen Objekten angeeignet.
SalvagerRank1Desc,progression,skills,New,"+6% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+6%,"+6% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank2Desc,progression,skills,New,"+12% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+12%,"+12% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank3Desc,progression,skills,New,"+18% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+18%,"+18% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank4Desc,progression,skills,New,"+24% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+24%,"+24% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank5Desc,progression,skills,New,"+30% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+30%,"+30% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank6Desc,progression,skills,New,"+34% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+34%,"+34% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank7Desc,progression,skills,New,"+38% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+38%,"+38% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank8Desc,progression,skills,New,"+42% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+42%,"+42% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank9Desc,progression,skills,New,"+46% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+46%,"+46% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank10Desc,progression,skills,New,"+50% más recuperación de partes, ataque en bloque y velocidad de ataque",解体性能+50%,"+50% mehr Teile, Blockschaden und Angriffstempo."
SalvagerRank1LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 6%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を6%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 6% erhöht."
SalvagerRank2LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 12%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を12%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 12% erhöht."
SalvagerRank3LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 18%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を18%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 18% erhöht."
SalvagerRank4LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 24%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を24%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 24% erhöht."
SalvagerRank5LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 30%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を30%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 30% erhöht."
SalvagerRank6LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 34%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を34%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 34% erhöht."
SalvagerRank7LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 38%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を38%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 38% erhöht."
SalvagerRank8LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 42%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を42%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 42% erhöht."
SalvagerRank9LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 46%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を46%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 46% erhöht."
SalvagerRank10LongDesc,progression,skills,New,"La probabilidad de recuperar partes, daño en bloque y velocidad de ataque con herramientas de desguace se incrementa en 50%.",解体ツール使用時のダメージ、資源回収量、攻撃速度を50%上昇させます。,"Sammelrate von Teilen, Blockschaden und Angriffstempo mit Werkzeugen zur Demontage wird um 50% erhöht."

ExplosivesMasteryName,progression,skills,New,"Dominio de Explosivos",花火師,Sprengstoff-Experte
ExplosivesMasteryDesc,progression,skills,New,"De verdad te gusta jugar con fuegos artificiales, verdad? Incrementa considerablemente el daño con explosivos.",本当に花火が好きなんですね。爆発物の全体的な性能を上げます。,"Du scheinst Feuerwerk wahrlich zu lieben oder? Erhöhe deinen Schaden mit Sprengstoff massiv."
ExplosivesMasteryRank1Desc,progression,skills,New,"+6% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.",爆発物性能+6%,"+6% Schaden, Waffenhandhabung, Nachladetempo"
ExplosivesMasteryRank2Desc,progression,skills,New,"+12% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.",爆発物性能+12%,"+12% Schaden, Waffenhandhabung, Nachladetempo"
ExplosivesMasteryRank3Desc,progression,skills,New,"+18% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.",爆発物性能+18%,"+18% Schaden, Waffenhandhabung, Nachladetempo"
ExplosivesMasteryRank4Desc,progression,skills,New,"+24% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.",爆発物性能+24%,"+24% Schaden, Waffenhandhabung, Nachladetempo"
ExplosivesMasteryRank5Desc,progression,skills,New,"+30% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.\n+10% de probabilidad de desmembrar.",爆発物性能+30%\n部位破壊率+10%,"+30% Schaden, Waffenhandhabung, Nachladetempo\n+10% Chance auf Zergliederung"
ExplosivesMasteryRank6Desc,progression,skills,New,"+34% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.\n+10% de probabilidad de desmembrar.",爆発物性能+34%\n部位破壊率+10%,"+34% Schaden, Waffenhandhabung, Nachladetempo\n+10% Chance auf Zergliederung"
ExplosivesMasteryRank7Desc,progression,skills,New,"+38% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.\n+10% de probabilidad de desmembrar.",爆発物性能+38%\n部位破壊率+10%,"+38% Schaden, Waffenhandhabung, Nachladetempo\n+10% Chance auf Zergliederung"
ExplosivesMasteryRank8Desc,progression,skills,New,"+42% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.\n+10% de probabilidad de desmembrar.",爆発物性能+42%\n部位破壊率+10%,"+42% Schaden, Waffenhandhabung, Nachladetempo\n+10% Chance auf Zergliederung"
ExplosivesMasteryRank9Desc,progression,skills,New,"+46% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.\n+10% de probabilidad de desmembrar.",爆発物性能+46%\n部位破壊率+10%,"+46% Schaden, Waffenhandhabung, Nachladetempo\n+10% Chance auf Zergliederung"
ExplosivesMasteryRank10Desc,progression,skills,New,"+50% Daño en bloque, daño a entidades, manejo del arma, velocidad de recarga.\n+20% de probabilidad de desmembrar.",爆発物性能+50%\n部位破壊率+20%,"+50% Schaden, Waffenhandhabung, Nachladetempo\n+20% Chance auf Zergliederung"
ExplosivesMasteryRank1LongDesc,progression,skills,New,"Incrementa el daño en bloque, daño a entidades, manejo del arma, velocidad de recarga con explosivos en 6%",爆発物のダメージ、取り回し、リロード速度を6%改善します。,"Erhöhe deinen Schaden gegen Blöcke und Wesen, deine Handhabung sowie das Nachladetempo um 6%."
ExplosivesMasteryRank2LongDesc,progression,skills,New,"Incrementa el daño en bloque, daño a entidades, manejo del arma, velocidad de recarga con explosivos en 12%",爆発物のダメージ、取り回し、リロード速度を12%改善します。,"Erhöhe deinen Schaden gegen Blöcke und Wesen, deine Handhabung sowie das Nachladetempo um 12%."
ExplosivesMasteryRank3LongDesc,progression,skills,New,"Incrementa el daño en bloque, daño a entidades, manejo del arma, velocidad de recarga con explosivos en 18%",爆発物のダメージ、取り回し、リロード速度を18%改善します。,"Erhöhe deinen Schaden gegen Blöcke und Wesen, deine Handhabung sowie das Nachladetempo um 18%."
